City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Miri,MY,4.4148,114.0089,80.74,94,40,2.3,thunderstorm
322,Luderitz,NA,-26.6481,15.1594,56.48,84,60,8.19,broken clouds
323,Santa Maria Del Oro,MX,25.9333,-105.3667,79.52,39,83,10.63,broken clouds
324,Hofn,IS,64.2539,-15.2082,51.76,84,76,16.31,broken clouds
325,Pasaje,EC,-3.3333,-79.8167,78.51,65,87,7.52,overcast clouds
326,Koutsouras,GR,35.0339,25.9469,81.1,55,0,8.05,clear sky
327,Morant Bay,JM,17.8815,-76.4093,89.22,66,2,11.48,clear sky
328,Flinders,AU,-34.5833,150.8552,56.37,81,100,1.99,overcast clouds
329,Bardiyah,LY,31.7561,25.0865,77.68,71,0,12.21,clear sky
330,Bud,US,39.447,-86.1758,85.48,74,65,8.61,broken clouds
331,Nosy Varika,MG,-20.5833,48.5333,65.97,84,95,1.95,light rain
332,Havoysund,NO,70.9963,24.6622,52.03,93,100,37.16,light rain
333,Okhotsk,RU,59.3833,143.3,57.42,94,100,3.11,overcast clouds
334,Roald,NO,62.5833,6.1333,62.17,94,75,12.66,broken clouds
335,Torres,BR,-29.3353,-49.7269,60.82,85,6,2.21,clear sky
336,Xudat,AZ,41.631,48.681,78.51,52,0,10.02,clear sky
337,Kungsbacka,SE,57.4872,12.0761,65.05,82,7,1.99,clear sky
338,Solnechnyy,RU,50.7214,136.6319,53.2,97,98,3.89,light rain
339,Te Anau,NZ,-45.4167,167.7167,32.11,87,26,1.16,scattered clouds
340,Lebu,CL,-37.6167,-73.65,51.93,84,100,4.21,overcast clouds
341,Galesong,ID,-5.3166,119.3661,77.02,86,97,5.37,overcast clouds
342,Ovre Ardal,NO,61.3167,7.8,61.68,80,97,4.65,overcast clouds
343,Saint-Leu,RE,-21.15,55.2833,67.32,68,71,2.1,broken clouds
344,Rawson,AR,-43.3002,-65.1023,57.92,39,9,7.78,clear sky
